### Q1077097, tambon- central government unit in Thailand : _wdadd_ 
Q777120,borough of Pennsylvania
Q2911266,borough of New Jersey
Q4946304,borough of Connecticut
Q7900180,urban township of the United States
Q7900181,urban township of Michigan
Q7900183,urban township of Ohio
Q15063142,urban township of Minnesota
Q15127012,town of the United States
Q2154459,New England town
Q15411479,town of Connecticut
Q7829892,town of New Jersey
Q15411644,town of Virginia
Q98938901,town of Vermont
Q64636958,school district of Oregon
Q3327871,district municipality
Q3374262,market town
Q3505887,city council
Q3752524,gmina's auxiliary unit
Q1434401,dzielnica
Q9248451,Dzielnice Gdyni
Q3788231,Municipal government in Canada
Q2218838,list of municipalities in Nova Scotia
Q5532181,General Service Area
Q6643749,list of towns in Nova Scotia
Q15731904,municipal district of Nova Scotia
Q2416047,list of communities in Alberta
Q2089229,list of cities in Alberta
Q6621998,list of hamlets in Alberta
Q6641762,summer village in Alberta
Q6644696,village in Alberta
Q7574919,specialized municipality in Alberta
Q14762205,municipal district of Alberta
Q15234658,improvement district of Alberta
Q18285253,Alberta special area
Q28656402,new town in Alberta
Q55430416,town in Alberta
Q55440238,city in Alberta
Q3111821,list of communities in New Brunswick
Q603715,county of New Brunswick
Q2371398,Regional Service Commission
Q2989369,rural community of New Brunswick
Q3032041,local service district
Q3252927,parish in New Brunswick
Q6609748,city of New Brunswick
Q6644759,village of New Brunswick
Q52132873,town
Q3327873,local municipality of Quebec
Q3558965,Cree village
Q3559003,northern village
Q17290932,Cree reserved land
Q27676414,city
Q27676416,city or town
Q27676420,village municipality of Quebec
Q27676422,township municipality
Q27676424,united townships municipality
Q27676428,municipality
Q27676431,naskapi village municipality
Q27676524,parish municipality
Q27824520,Inuit reserved land
Q29386689,terres réservées aux Naskapis
Q3327874,rural municipality of Canada
Q3327899,municipality of Ontario
Q14762300,single-tier municipality
Q6593035,separated municipality in Ontario
Q15210668,lower-tier municipality
Q16295254,upper-tier municipality
Q14762890,regional municipality of Ontario
Q14763041,county of Ontario
